Project,Client,Title,Duration
SOS1920-27,,#1 Hacer el L02,00:00:59
SOS1920-27,,#10 Parte José Manuel F03,03:53:49
SOS1920-27,,#12 Parte grupal  punto 2,00:35:13
SOS1920-27,,#13 Parte individual Belen F04,12:07:57
SOS1920-27,,#14 Realización parte individual de Juanlu,08:22:31
SOS1920-27,,#15 Parte individual Belen,14:00:00
SOS1920-27,,#18 Parte Individual Juan Luis,122:43:54
SOS1920-27,,#19 Parte  Belen,27:29:14
SOS1920-27,,#2 Tarea 8 backlog,00:19:16
SOS1920-27,,#21 Parte Juanlu,32:55:20
SOS1920-27,,#3 Tarea 13,01:04:47
SOS1920-27,,#4 Revisión de la ficha de trabajo y posibles datos,00:21:52
SOS1920-27,,#5 Punto 2 Backlog,01:06:59
SOS1920-27,,#6 Punto 3 backlog,03:57:12
SOS1920-27,,#7 Opcional F02,02:05:34
SOS1920-27,,#8 Parte Belén F03,05:05:01
SOS1920-27,,#9 Parte Juanlu F03,04:54:03
SOS1920-27,,New Issue · gti-sos/SOS1920-27,00:00:15
SOS1920-27,,Parte individual de JMPere del F04 · Issue #11 · gti-sos/SOS1920-27,10:30:26
SOS1920-27,,Parte Individual José Manuel D02 · Issue #17 · gti-sos/SOS1920-27,08:39:00
SOS1920-27,,Parte José Manuel D03 · Edición # 20 · gti-sos / SOS1920-27,08:11:11
SOS1920-27,,Parte José Manuel D03 · Issue #20 · gti-sos/SOS1920-27,36:32:59
SOS1920-27,,Proyecto,00:00:04
SOS1920-27,,Realizacion F04 José Manuel,04:14:10
SOS1920-27,,,36:04:50
,,#1 Hacer el L0-2,00:26:19
,,,430:38:33
